Title,Image URL,Price,Discount,Brand,Category,Specifications
WIKO T3,https://www.gadgetmaya.com/wp-content/uploads/2022/06/Wiko-T3-800x630.jpg,"PHP7,490.00 PHP6,690.00",Price-drop:  PHP800.00 (OFF),Brand:  Wiko,Category:  Smartphones,"{'General': {'Launch Date\nrefers to the release or launch date of the device.': 'June, 2022', 'Status': 'Available'}, 'Network': {'Technology\nrefers to mobile network capability and network technology.': '2G / 3G / 4G / LTE', 'SIM': 'Dual SIM (nano)'}, 'Display': {'Type\nrefers to the type of display used e.g. AMOLED, OLED, IPS, TFT, and others': 'IPS LCD', 'Screen size': '6.6 inches, (~83.7% screen-to-body ratio)', 'Resolution': '720 x 1600 pixels,  HD+\r\n 20:9 ratio\r\n~266 ppi density', 'Protection': '--'}, 'Platform': {'OS\nrefers to the operating system used by the device e.g. Android, iOS, Windows and others.': 'Android 11', 'Chipset': 'Mediatek MT6765 Helio P35 (12nm)', 'CPU cores': 'Octa-core\r\n4 x 2.3 GHz Cortex-A53\r\n4 x 1.8 GHz Cortex-A53', 'Graphics': 'PowerVR GE8320'}, 'Memory': {'RAM': '4GB', 'Internal': '128GB', 'Card slot': 'Yes, up to 256GB'}, 'Rear Camera': {'Main': '48 MP, f/1.8 (wide), AF\r\n5 MP, f/2.2 (ultrawide)\r\n2 MP (depth)', 'Features': 'LED flash, HDR, Panorama', 'Video': '1080p@30fps, 720p@30fps'}, 'Front Camera': {'Selfie': '8 MP', 'Resolution': '720p@30fps'}, 'Audio': {'Loudspeaker': 'Yes', '3.5mm': 'Yes'}, 'Connectivity': {'WLAN': 'Wi-Fi 802.11 b/g/n, hotspot\r\n2.4GHz', 'Bluetooth': '5.0, A2DP, LE', 'NFC': 'No', 'GPS': 'Yes, with A-GPS support and GLONASS, BDS, Galileo', 'IR Port': 'No', 'FM Radio': 'Yes', 'USB Port': 'USB Type-C 2.0'}, 'Battery': {'Capacity': '5000 mAh', 'Battery Type': 'Li-Po (Non-removable)', 'Charging': '10W'}, 'Other features': {'Sensors': 'Fingerprint (side-mounted), accelerometer, proximity, ambient light', 'Build': 'Glass front, Plastic Back', 'Dimensions': '165.3 x 76 x 9.2 mm', 'Weight': '188g', 'Colors': 'Black, Gold'}, 'Price': {'Availability': 'Now Available in PH', 'Price status\nrefers to price status (e.g. official, conversion, estimated and others)': 'Official Price in Philippines', 'Variant/s\nrefers to price per device variants (e.g. 4GB / 64GB, 8GB /256GB).': '₱7,490.00 - (4GB / 128GB)\r\n₱6,690.00 - (Sale Price)'}}"
Huawei P50,https://www.gadgetmaya.com/wp-content/uploads/2022/08/Huawei-P50.jpg,"PHP39,999.00",Discount not found,Brand:  Huawei,Category:  Smartphones,"{'General': {'Launch Date\nrefers to the release or launch date of the device.': 'June, 2022', 'Status': 'Available'}, 'Network': {'Technology\nrefers to mobile network capability and network technology.': '2G / 3G / 4G / LTE', 'SIM': 'Dual SIM (nano)'}, 'Display': {'Type\nrefers to the type of display used e.g. AMOLED, OLED, IPS, TFT, and others': 'OLED, 90Hz', 'Screen size': '6.5 inches, (~88.0% screen-to-body ratio)', 'Resolution': '1224 x 2700 pixels, FHD+\r\n19.9:9 ratio \r\n~458 ppi density', 'Protection': '--'}, 'Platform': {'OS\nrefers to the operating system used by the device e.g. Android, iOS, Windows and others.': 'HarmonyOS 2.0', 'Chipset': 'Qualcomm Snapdragon 888 4G (5 nm)', 'CPU cores': 'Octa-core \r\n1x2.84 GHz Cortex-X1\r\n3x2.42 GHz Cortex-A78\r\n4x1.80 GHz Cortex-A55', 'Graphics': 'Adreno 660'}, 'Memory': {'RAM': '8GB LPDDR5', 'Internal': '128GB, 256GB UFS 3.1', 'Card slot': 'Yes, up to 256GB (Nano Memory)'}, 'Rear Camera': {'Main': '50 MP, f/1.8 (wide), OIS, Laser AF, PDAF\r\n13 MP, f/3.4 (ultrawide), FOV 120˚\r\n12 MP, f/2.2 (periscope telephoto), PDAF, OIS, 5x Zoom', 'Features': 'Dual-LED flash, HDR, Panorama\r\nLeica optics, gyro-EIS', 'Video': '4K@30 / 60fps, 1080p@30 / 60 / 960fps'}, 'Front Camera': {'Selfie': '13 MP (wide), f/2.4\r\nHDR, Panorama, gyro-EIS', 'Resolution': '4K@30fps, 1080p@30 / 60 / 240fps'}, 'Audio': {'Loudspeaker': 'Yes, Dual stereo speakers (Histen Audio)', '3.5mm': 'No, Type-C Audio'}, 'Connectivity': {'WLAN': 'Wi-Fi 802.11 a/b/g/n/ac/6\r\n2.4 GHz, 5GHz', 'Bluetooth': '5.2, A2DP, LE', 'NFC': 'Yes', 'GPS': 'Yes, with up to tri-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC', 'IR Port': 'No', 'FM Radio': 'No', 'USB Port': 'USB Type-C 3.1, USB On-The-Go (OTG)'}, 'Battery': {'Capacity': '4100 mAh', 'Battery Type': 'Li-Po (Non-removable)', 'Charging': '66W SuperCharge fast charging'}, 'Other features': {'Sensors': 'Fingerprint (in-display), accelerometer, gyro, proximity, compass, color spectrum', 'Build': 'Glass front, Glass Back, Aluminum frame (IP68, water and dust resistant)', 'Dimensions': '156.5 x 73.8 x 7.92 mm', 'Weight': '181g', 'Colors': 'Golden Black, Cocoa Gold, Pearl White'}, 'Price': {'Availability': 'Now Available in PH', 'Price status\nrefers to price status (e.g. official, conversion, estimated and others)': 'Official Price in Philippines', 'Variant/s\nrefers to price per device variants (e.g. 4GB / 64GB, 8GB /256GB).': '₱39,999.00 - (8GB / 256GB)'}}"
Huawei P50 Pocket,https://www.gadgetmaya.com/wp-content/uploads/2022/08/Huawei-P50-Pocket.jpg,"PHP69,999.00 PHP59,999.00","Price-drop:  PHP10,000.00 (OFF)",Brand:  Huawei,Category:  Smartphones,"{'General': {'Launch Date\nrefers to the release or launch date of the device.': 'February, 2022', 'Status': 'Available'}, 'Network': {'Technology\nrefers to mobile network capability and network technology.': '2G / 3G / 4G / LTE', 'SIM': 'Dual SIM (nano)'}, 'Display': {'Type\nrefers to the type of display used e.g. AMOLED, OLED, IPS, TFT, and others': 'Foldable OLED, 120Hz', 'Screen size': '6.9 inches (~85.1% screen-to-body ratio)', 'Resolution': '1188 x 2790 pixels, FHD+\r\n21:9 ratio \r\n~442 ppi density\r\nBack cover display:\r\nOLED, 1.04 inch\r\n340 x 340 pixels\r\n328 ppi', 'Protection': '--'}, 'Platform': {'OS\nrefers to the operating system used by the device e.g. Android, iOS, Windows and others.': 'EMUI 12', 'Chipset': 'Qualcomm Snapdragon 888 4G (5 nm)', 'CPU cores': 'Octa-core \r\n1x2.84 GHz Cortex-X1\r\n3x2.42 GHz Cortex-A78\r\n4x1.80 GHz Cortex-A55', 'Graphics': 'Adreno 660'}, 'Memory': {'RAM': '8GB, 12GB LPDDR5', 'Internal': '256GB, 512GB UFS 3.1', 'Card slot': 'Yes, up to 256GB (Nano Memory)'}, 'Rear Camera': {'Main': '40 MP, f/1.8 (wide), Laser AF, PDAF\r\n13 MP, f/2.2 (ultrawide), FOV 120˚, AF\r\n32 MP, f/1.8 (wide), Ultra Spectrum, AF', 'Features': 'LED flash, HDR, Panorama\r\ngyro-EIS', 'Video': '4K@30 / 60fps, 1080p@30 / 120 / 240fps'}, 'Front Camera': {'Selfie': '13 MP (wide), f/2.4\r\nHDR, Panorama', 'Resolution': '4K@30 / 60fps, 1080p@30 / 60 / 120 / 240fps'}, 'Audio': {'Loudspeaker': 'Yes, Dual stereo speakers (Histen Audio)', '3.5mm': 'No, Type-C Audio'}, 'Connectivity': {'WLAN': 'Wi-Fi 802.11 a/b/g/n/ac/6\r\n2.4 GHz, 5GHz', 'Bluetooth': '5.2, A2DP, LE', 'NFC': 'Yes', 'GPS': 'Yes, with up to tri-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC', 'IR Port': 'Yes', 'FM Radio': 'No', 'USB Port': 'USB Type-C 3.1, USB On-The-Go (OTG)'}, 'Battery': {'Capacity': '4000 mAh', 'Battery Type': 'Li-Po (Non-removable)', 'Charging': '40W SuperCharge fast charging\r\n5W reverse charging'}, 'Other features': {'Sensors': 'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer color spectrum', 'Build': 'Glass Back, Aluminum frame', 'Dimensions': '170 x 75.5 x 7.2 mm (Unfolded), 87.3 x 75.5 x 15.2 mm (folded)', 'Weight': '190g', 'Colors': 'Premium Gold, White'}, 'Price': {'Availability': 'Now Available in PH', 'Price status\nrefers to price status (e.g. official, conversion, estimated and others)': 'Price Drop', 'Variant/s\nrefers to price per device variants (e.g. 4GB / 64GB, 8GB /256GB).': '₱59,999.00 - (8GB / 256GB)\r\n₱75,999.00 - (12GB / 512GB)'}}"
Huawei Nova Y70,https://www.gadgetmaya.com/wp-content/uploads/2022/06/Huawei-Nova-Y70-800x630.jpg,"PHP9,999.00 PHP8,499.00","Price-drop:  PHP1,500.00 (OFF)",Brand:  Huawei,Category:  Smartphones,"{'General': {'Launch Date\nrefers to the release or launch date of the device.': 'June, 2022', 'Status': 'Available'}, 'Network': {'Technology\nrefers to mobile network capability and network technology.': '2G / 3G / 4G / LTE', 'SIM': 'Dual SIM (nano)'}, 'Display': {'Type\nrefers to the type of display used e.g. AMOLED, OLED, IPS, TFT, and others': 'TFT LCD', 'Screen size': '6.75 inches (~84.1% screen-to-body ratio)', 'Resolution': '720 x 1600 pixels, HD+\r\n20:9 ratio\r\n~260 ppi density', 'Protection': '--'}, 'Platform': {'OS\nrefers to the operating system used by the device e.g. Android, iOS, Windows and others.': 'EMUI 12', 'Chipset': 'HiSilicon Kirin 710', 'CPU cores': 'Octa-core\r\n4 x  2.2GHz Cortex-A53\r\n4 x 1.7GHz Cortex-A53', 'Graphics': 'Mali G51 MP4'}, 'Memory': {'RAM': '4GB', 'Internal': '128GB', 'Card slot': 'Yes, up to 512GB'}, 'Rear Camera': {'Main': '48 MP f/1.8 (wide), PDAF\r\n5 MP f/2.2 (ultrawide), FOV 120˚ \r\n2 MP f/2.4 (depth)', 'Features': 'LED flash, HDR, Panorama', 'Video': '1080p@30fps, 720p@30fps'}, 'Front Camera': {'Selfie': '8 MP f/2.0 (wide)\r\nHDR', 'Resolution': '1080p@30fps, 720p@30fps'}, 'Audio': {'Loudspeaker': 'Yes', '3.5mm': 'Yes'}, 'Connectivity': {'WLAN': 'Wi-Fi 802.11 b/g/n', 'Bluetooth': 'Bluetooth 5.1', 'NFC': 'No', 'GPS': 'Yes, with A-GPS support and GLONASS, BDS, Galileo, QZSS', 'IR Port': 'No', 'FM Radio': 'Yes', 'USB Port': 'USB Type-C 2.0, USB On-The-Go (OTG)'}, 'Battery': {'Capacity': '6000 mAh', 'Battery Type': 'Li-Po (Non-removable)', 'Charging': '22.5W fast charging\r\nHuawei SuperCharge'}, 'Other features': {'Sensors': 'Fingerprint (side-mounted), accelerometer, proximity, compass', 'Build': 'Glass front, Plastic Back', 'Dimensions': '168.3 x 77.7 x 8.9 mm', 'Weight': '199g', 'Colors': 'Crystal Blue, Midnight Black'}, 'Price': {'Availability': 'Now Available in PH', 'Price status\nrefers to price status (e.g. official, conversion, estimated and others)': 'Official Price in Philippines', 'Variant/s\nrefers to price per device variants (e.g. 4GB / 64GB, 8GB /256GB).': '₱9,999 - (4GB / 128GB)'}}"
Huawei Mate 40 Pro,https://www.gadgetmaya.com/wp-content/uploads/2022/08/Huawei-Mate-40-Pro.jpg,"PHP55,999.00 PHP36,999.00","Price-drop:  PHP19,000.00 (OFF)",Brand:  Huawei,Category:  Smartphones,"{'General': {'Launch Date\nrefers to the release or launch date of the device.': 'October, 2020', 'Status': 'Available'}, 'Network': {'Technology\nrefers to mobile network capability and network technology.': '2G / 3G / 4G / LTE / 5G', 'SIM': 'Dual SIM (nano)'}, 'Display': {'Type\nrefers to the type of display used e.g. AMOLED, OLED, IPS, TFT, and others': 'OLED, HDR10, 90Hz', 'Screen size': '6.76 inches, (~94.1% screen-to-body ratio)', 'Resolution': '1344 x 2772 pixels, FHD+\r\n18.5:9 ratio \r\n~456 ppi density', 'Protection': '--'}, 'Platform': {'OS\nrefers to the operating system used by the device e.g. Android, iOS, Windows and others.': 'Android 10-based, EMUI 11 (no Google Play Services)', 'Chipset': 'HiSilicon Kirin 9000 5G (5 nm)', 'CPU cores': 'Octa-core \r\n1x3.13 GHz Cortex-A77\r\n3x2.54 GHz Cortex-A77 \r\n4x2.05 GHz Cortex-A55', 'Graphics': 'Mali-G78 MP24'}, 'Memory': {'RAM': '8GB LPDDR5', 'Internal': '128GB, 256GB, 512GB UFS 3.1', 'Card slot': 'Yes, up to 256GB'}, 'Rear Camera': {'Main': '50 MP, f/1.8, (wide), multi-directional PDAF, Laser AF\r\n12 MP, f/2.4, (periscope telephoto), PDAF, OIS, 5x optical zoom\r\n2 MP, f/2.4, (ultrawide), PDAF', 'Features': 'Leica optics, LED flash, HDR, panorama\r\ngyro-EIS', 'Video': '4K@30 / 60fps, 1080p@ 30 / 60 / 120 / 240 / 480fps'}, 'Front Camera': {'Selfie': '8 MP (ultrawide), f/2.4\r\nTOF 3D, (depth/biometrics sensor)', 'Resolution': '4K@30 / 60fps, 1080p@30 / 60 / 240fps'}, 'Audio': {'Loudspeaker': 'Yes, Dual stereo speakers (Histen Audio)', '3.5mm': 'No, Type-C Audio'}, 'Connectivity': {'WLAN': 'Wi-Fi 802.11 a/b/g/n/ac/6\r\n2.4 GHz, 5GHz', 'Bluetooth': '5.2, A2DP, LE', 'NFC': 'Yes', 'GPS': 'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC', 'IR Port': 'Yes', 'FM Radio': 'No', 'USB Port': 'USB Type-C 3.1, USB On-The-Go (OTG)'}, 'Battery': {'Capacity': '4400 mAh', 'Battery Type': 'Li-Po (Non-removable)', 'Charging': '66W fast charging\r\n50W wireless fast charging\r\n5W reverse wireless charging'}, 'Other features': {'Sensors': 'Fingerprint (in-display), accelerometer, virtual proximity, barometer, compass, color spectrum', 'Build': 'Glass front, glass / leather back, aluminum frame, IP68 dust/water resistant', 'Dimensions': '162.9 x 75.5 x 9.1 mm /  9.5mm (Leather)', 'Weight': '212g', 'Colors': 'Mystic Silver, White, Black, Green, Yellow'}, 'Price': {'Availability': 'Now Available in PH', 'Price status\nrefers to price status (e.g. official, conversion, estimated and others)': 'Price Drop', 'Variant/s\nrefers to price per device variants (e.g. 4GB / 64GB, 8GB /256GB).': '₱36,999.00 - (8GB / 256GB)'}}"
